algo,seed,step,ep_reward,ep_length,collision,success
SAC,0,412,,4.478261,,
SAC,0,412,2.6743882,,,
SAC,0,412,,,,
SAC,0,428,,4.4583335,,
SAC,0,428,2.6590676,,,
SAC,0,428,,,,
SAC,0,445,,4.45,,
SAC,0,445,2.652504,,,
SAC,0,445,,,,
SAC,0,465,,4.45,,
SAC,0,465,2.6490977,,,
SAC,0,465,,,,
SAC,0,481,,4.44,,
SAC,0,481,2.638534,,,
SAC,0,481,,,,
SAC,0,506,,4.54,,
SAC,0,506,2.7169962,,,
SAC,0,506,,,,
SAC,0,535,,4.6,,
SAC,0,535,2.7572668,,,
SAC,0,535,,,,
SAC,0,567,,4.8,,
SAC,0,567,2.9030025,,,
SAC,0,567,,,,
SAC,0,580,,,0.0,0.0
SAC,0,585,,,0.0,0.0
SAC,0,590,,,0.0,0.0
SAC,0,594,,,0.0,0.0
SAC,0,595,,,0.0,0.0
SAC,0,601,,,0.0,0.0
SAC,0,611,,,0.0,0.0
SAC,0,615,,,0.0,0.0
SAC,0,619,,,0.0,0.0
SAC,0,620,,,0.0,0.0
SAC,0,628,,,0.0,0.0
SAC,0,633,,,0.0,0.0
SAC,0,638,,,0.0,0.0
SAC,0,641,,,0.0,0.0
SAC,0,644,,,0.0,0.0
SAC,0,662,,,0.0,0.0
SAC,0,665,,,0.0,0.0
SAC,0,671,,,0.0,0.0
SAC,0,677,,,0.0,0.0
SAC,0,678,,,0.0,0.0
SAC,0,680,,,0.0,0.0
SAC,0,685,,,0.0,0.0
SAC,0,686,,,0.0,0.0
SAC,0,695,,,0.0,0.0
SAC,0,700,,,0.0,0.0
SAC,0,707,,,0.0,0.0
SAC,0,709,,,0.0,0.0
SAC,0,712,,,0.0,0.0
SAC,0,713,,,0.0,0.0
SAC,0,718,,,0.0,0.0
SAC,0,720,,,0.0,0.0
SAC,0,721,,,0.0,0.0
SAC,0,728,,,0.0,0.0
SAC,0,733,,,0.0,0.0
SAC,0,735,,,0.0,0.0
SAC,0,741,,,0.0,0.0
SAC,0,750,,,0.0,0.0
SAC,0,753,,,0.0,0.0
SAC,0,761,,,0.0,0.0
SAC,0,762,,,0.0,0.0
SAC,0,768,,,0.0,0.0
SAC,0,771,,,0.0,0.0
