#{"t_start": 1777925999.046383, "env_id": "highway-v0"}
r,l,t
1.444444,3,0.189053
3.758801,6,0.384951
6.043834,9,0.661723
6.88504,10,0.965486
0.0,1,1.008365
0.8194,2,1.084144
1.724588,3,1.187714
3.764197,6,1.371889
1.440107,3,1.479086
2.133801,4,1.605783
6.763936,10,1.907223
3.676021,6,2.103103
6.608979,10,2.402907
4.627852,7,2.613994
1.444444,3,2.710215
2.133333,4,2.838922
17.025931,22,3.504422
2.938442,5,3.657263
3.620643,6,3.84205
1.520609,3,3.938617
2.113796,4,4.071134
0.771294,2,4.145651
3.703191,6,4.326375
5.352235,8,4.56612
0.0,1,4.607462
3.733618,6,4.80231
7.134749,10,5.107895
1.358131,3,5.212781
0.666667,2,5.289952
8.220792,11,5.616127
0.768029,2,5.6836
2.210487,4,5.815976
2.524198,4,5.942355
0.766907,2,6.017082
0.733333,2,6.085217
2.133333,4,6.215187
7.546092,11,6.554496
0.0,1,6.59429
2.066667,4,6.722064
6.942458,10,7.031524
5.966078,9,7.309906
3.73821,6,7.4911
5.601813,8,7.74221
11.944788,17,8.256029
0.0,1,8.297643
5.725236,8,8.535247
0.752375,2,8.611069
0.851365,2,8.695047
6.965642,10,9.013192
8.696984,12,9.375081
1.504212,3,9.476807
0.738757,2,9.548024
1.466593,3,9.653948
7.65594,11,9.984775
2.191264,4,10.116952
5.221213,8,10.361327
0.0,1,10.40324
0.0,1,10.441515
5.798621,8,10.687606
3.176768,5,10.841106
1.678636,3,10.944092
3.684542,6,11.12957
2.1487,4,11.257425
1.484103,3,11.353613
10.177942,14,11.771851
3.085295,5,11.926633
4.536642,7,12.138532
0.733333,2,12.211168
5.937547,9,12.490515
6.11268,9,12.754357
3.789857,6,12.943116
2.85222,5,13.105426
2.323638,4,13.240574
0.666667,2,13.304211
2.022222,4,13.436749
3.043614,5,13.586196
2.066667,4,13.719273
0.0,1,13.767696
5.14971,8,14.006864
3.131021,5,14.165627
0.84248,2,14.242251
0.0,1,14.289718
2.892098,5,14.446709
9.752236,14,14.855452
11.802735,16,15.340982
9.744025,13,15.716057
0.0,1,15.759268
0.0,1,15.79776
1.444444,3,15.90291
10.403335,14,16.307682
1.562077,3,16.405849
3.24333,5,16.55605
0.733333,2,16.633099
4.126384,6,16.823331
0.0,1,16.86161
3.604413,6,17.048297
1.453047,3,17.149264
7.048732,10,17.456019
2.159385,4,17.578577
1.512904,3,17.680077
6.91445,10,17.983307
2.201705,4,18.117218
3.889835,6,18.308267
0.0,1,18.346929
12.244477,16,18.814183
2.322341,4,18.960313
2.182849,4,19.091588
6.85652,10,19.409522
1.483064,3,19.512988
0.841119,2,19.585624
3.653715,6,19.771707
1.483908,3,19.867714
