#{"t_start": 1777925999.0774245, "env_id": "highway-v0"}
r,l,t
150.805274,200,204.314806
150.488645,200,210.32485
160.503215,200,216.236195
141.916867,200,222.061514
141.444229,200,227.954704
157.929534,200,233.90274
146.038405,200,239.835692
97.739454,130,243.809127
149.68007,200,249.776359
143.423044,200,255.726863
63.520931,90,465.211578
145.49037,200,471.185555
152.987198,200,477.153696
140.053217,200,483.002122
161.120799,200,489.066506
148.908246,200,495.046498
148.303147,200,500.941209
155.532553,200,506.89135
143.086305,200,512.874721
54.270618,76,515.072052
154.6367,200,727.632099
151.907521,200,733.547961
151.144636,200,739.460585
141.418657,200,745.433911
148.735254,200,751.371149
146.631035,200,757.390122
152.377733,200,763.245594
145.598663,200,769.326336
149.38316,200,775.321324
148.914446,200,781.291101
146.173317,200,998.007265
149.115107,200,1004.119518
148.151191,200,1010.183672
147.201977,200,1016.354887
70.974189,97,1019.257675
137.820249,200,1025.448393
57.584082,76,1027.847639
140.84537,200,1033.821244
91.768686,118,1037.454916
145.645515,200,1043.529557
155.500511,200,1264.033359
94.973064,112,1267.403741
136.267421,192,1273.177605
151.622493,200,1279.322695
149.504442,200,1285.279433
160.917036,200,1291.325877
19.996812,22,1292.001809
142.466218,200,1298.077245
18.02398,20,1298.683172
29.94082,34,1299.732095
25.257642,30,1511.396625
151.942401,200,1517.43668
154.202058,200,1523.45899
146.673632,200,1529.396574
137.870252,200,1535.37378
16.985133,20,1535.969201
94.356157,127,1539.781802
150.656704,200,1545.690186
149.88449,200,1551.689391
153.499069,200,1557.745939
117.280539,152,1772.425395
91.413057,131,1776.399692
151.305192,200,1782.438705
15.947069,19,1783.003717
151.577554,200,1788.948771
155.713972,200,1794.903571
149.199151,200,1800.917786
149.602918,200,1806.912474
39.768019,50,1808.394605
35.636355,42,1809.634014
27.040594,33,2021.078427
62.868332,83,2023.537751
19.734235,22,2024.204603
22.181055,25,2024.933561
22.26549,28,2025.788173
152.825191,200,2031.982717
141.011582,200,2038.087666
57.263571,72,2040.261391
22.296093,25,2041.002539
33.794867,44,2042.335675
147.676188,200,2259.005253
147.089946,200,2265.167817
31.81277,38,2266.309059
146.855913,200,2272.349119
143.435818,200,2278.628635
154.825871,200,2284.716765
147.250025,200,2290.803433
156.197118,200,2296.635978
149.7171,200,2302.71795
24.225145,33,2303.693079
153.448505,200,2523.20362
150.162725,200,2529.145693
24.840833,32,2530.116275
145.036743,200,2536.156646
150.247666,200,2542.110067
137.877885,200,2548.305011
152.069696,200,2554.351176
152.758745,200,2560.432994
96.788878,127,2564.255292
151.693412,200,2570.378553
146.387446,200,2789.390126
19.945645,24,2790.10415
147.840792,200,2796.063485
156.804902,200,2802.115329
143.829131,200,2808.168533
151.651092,200,2814.270774
144.836014,200,2820.255728
80.633713,99,2823.236963
155.986846,200,2829.306328
107.661729,145,2833.703745
146.424402,200,3051.553233
150.596961,200,3057.400153
156.180904,200,3063.591419
155.470396,200,3069.773332
156.551774,200,3075.766433
154.523368,200,3081.676013
149.754041,200,3087.740369
150.26213,200,3093.933471
155.665385,200,3100.098736
149.990169,200,3106.23646
38.756556,49,3318.270051
147.750532,200,3324.396241
77.299635,98,3327.245443
20.92784,23,3327.937062
33.330857,39,3329.115447
59.652035,65,3331.116874
13.706972,15,3331.569368
160.192375,200,3337.60533
30.103278,32,3338.597759
12.40231,14,3339.052172
147.658018,200,3555.874679
149.240899,200,3561.738996
153.572795,200,3567.796563
34.554147,47,3569.220596
157.320049,200,3575.102634
154.294917,200,3581.190039
148.207028,200,3587.243638
160.97965,200,3593.314966
155.307598,200,3599.275091
157.89218,200,3605.364195
44.899924,59,3817.508573
160.56842,200,3823.584031
159.301373,200,3829.732494
157.690209,200,3835.955473
154.498552,200,3842.188271
40.654773,51,3843.71544
149.747903,200,3849.692918
153.136561,200,3855.787577
155.172223,200,3861.768164
148.301819,200,3867.879941
153.574859,200,4086.762395
28.362459,34,4087.77493
157.070049,200,4093.7236
155.4321,200,4099.887908
146.723389,200,4105.964966
170.935559,200,4111.961265
155.68905,200,4117.84507
159.103609,200,4123.862718
151.307728,200,4129.955743
156.274243,200,4135.907498
158.582149,200,4351.80792
170.814957,200,4357.711064
165.348863,200,4363.613807
156.091624,200,4369.534771
161.526999,200,4375.408959
159.602319,200,4381.396818
160.598266,200,4387.498444
158.210241,200,4393.44655
159.744694,200,4399.588755
162.757474,200,4405.758588
153.01182,200,4623.312416
169.792253,200,4629.299806
104.974199,138,4633.527349
141.691405,185,4639.053479
163.168347,200,4645.196754
160.258753,200,4651.174499
150.064478,200,4657.375913
161.854537,200,4663.492442
88.978026,98,4666.36729
156.369646,200,4672.368125
157.391255,200,4890.73719
146.835701,200,4896.80909
108.946095,136,4900.875591
147.042023,200,4907.096709
66.291566,85,4909.734148
154.681717,200,4915.898033
146.072557,200,4921.912395
114.468162,136,4926.101636
155.398884,200,4932.183775
166.106271,200,4938.182916
143.009472,200,5159.689181
61.98939,80,5162.095072
159.429949,200,5168.151577
28.442953,33,5169.135687
46.137543,57,5170.862098
143.929968,200,5176.756759
161.886605,200,5182.773546
153.509795,200,5188.996248
156.675197,200,5195.00147
157.814233,200,5201.092961
