#{"t_start": 1777920783.0662785, "env_id": "highway-v0"}
r,l,t
5.279984,8,0.416098
3.059074,5,0.571682
0.0,1,0.622104
4.013778,6,0.810567
3.974132,6,0.998543
0.0,1,1.046548
1.467799,3,1.153547
4.609414,7,1.377197
3.627864,6,1.565591
2.133333,4,1.694059
0.0,1,1.732593
2.133333,4,1.860793
0.852984,2,1.938202
3.653607,6,2.122618
3.122147,5,2.273008
7.568405,10,2.573574
3.716852,6,2.76006
1.519295,3,2.860507
0.886904,2,2.933364
0.0,1,2.972346
0.795688,2,3.052923
1.741465,3,3.151688
7.774033,11,3.487035
0.0,1,3.524688
0.81522,2,3.59796
6.048396,9,3.865573
3.723689,6,4.048518
3.7752,6,4.235416
3.797216,6,4.42417
1.355556,3,4.519518
0.813746,2,4.582064
2.946688,5,4.743591
2.944785,5,4.898044
0.0,1,4.944628
1.525279,3,5.049817
2.919414,5,5.208149
0.0,1,5.257782
5.469812,8,5.509779
9.247911,13,5.900717
1.536373,3,6.002344
0.0,1,6.043713
1.407476,3,6.145587
0.800744,2,6.228097
0.760587,2,6.30206
2.139962,4,6.429077
1.566276,3,6.530065
0.0,1,6.567472
0.666667,2,6.637733
2.959435,5,6.791023
2.35232,4,6.913779
2.922785,5,7.073084
2.38073,4,7.201472
9.685053,13,7.595199
5.2353,8,7.836867
4.650374,7,8.049044
3.0891,5,8.215841
3.040754,5,8.370097
1.575194,3,8.474199
2.157213,4,8.603669
4.016399,6,8.777406
10.969469,15,9.213814
0.0,1,9.263003
1.548124,3,9.3626
2.624684,4,9.487466
5.473069,8,9.732158
0.801154,2,9.810662
3.770799,6,10.001412
0.746199,2,10.07907
7.32374,10,10.381526
2.984585,5,10.547694
3.777272,6,10.739178
3.032973,5,10.892241
0.0,1,10.944695
0.0,1,10.98379
0.738731,2,11.056299
3.688773,6,11.245432
5.466787,8,11.499824
3.417366,5,11.664023
0.0,1,11.700582
6.189635,9,11.980557
5.382541,8,12.225295
2.348312,4,12.353667
2.133333,4,12.479081
0.848408,2,12.555054
1.439422,3,12.663754
0.0,1,12.709443
0.760535,2,12.77703
2.976264,5,12.941384
2.289158,4,13.076201
0.666667,2,13.148488
2.25185,4,13.27842
2.138119,4,13.404235
0.755665,2,13.484303
5.48026,8,13.7331
1.451203,3,13.834694
1.539652,3,13.937034
0.772818,2,14.01529
4.427155,7,14.237863
3.198232,5,14.407521
1.581688,3,14.50853
0.0,1,14.550186
5.24207,8,14.792897
4.026742,6,14.997963
2.743399,5,15.159373
0.819669,2,15.23519
1.355556,3,15.328729
3.814508,6,15.515167
3.005255,5,15.672164
2.99652,5,15.827605
3.006712,5,15.989748
0.0,1,16.028233
9.737515,14,16.449311
9.858439,14,16.876277
1.360802,3,16.977384
4.004381,6,17.163769
4.000572,6,17.351782
8.484399,12,17.709781
3.576196,6,17.899797
2.146272,4,18.02435
6.489762,10,18.326008
1.355556,3,18.429449
7.068259,10,18.730194
2.867309,5,18.885046
3.06939,5,19.047611
2.066667,4,19.179186
0.0,1,19.216808
3.753711,6,19.398849
7.147164,10,19.70496
2.482863,4,19.838398
2.18662,4,19.966966
0.0,1,20.012349
5.371378,8,20.267139
3.305935,5,20.429713
2.998994,5,20.584215
1.685302,3,20.681522
1.444444,3,20.776043
12.718326,18,21.312486
1.456165,3,21.412383
3.620318,6,21.602055
3.720387,6,21.78906
0.0,1,21.831526
0.795879,2,21.908521
3.13618,5,22.065811
0.0,1,22.112173
5.959539,9,22.383266
3.146096,5,22.541264
4.705741,7,22.757275
0.7531,2,22.823363
1.482158,3,22.925612
0.0,1,22.971212
2.982642,5,23.122375
0.666667,2,23.19692
0.0,1,23.238682
4.441626,7,23.449775
2.903382,5,23.607605
0.733333,2,23.674232
3.750759,6,23.865293
5.838971,9,24.13489
1.432069,3,24.233089
5.223226,8,24.478755
0.0,1,24.519422
3.711405,6,24.706759
1.444444,3,24.806691
0.666667,2,24.881105
0.733333,2,24.960494
1.563835,3,25.061106
2.315978,4,25.191888
0.0,1,25.233784
4.106466,6,25.430385
8.011678,11,25.762245
4.524662,7,25.97288
0.666667,2,26.045047
0.817188,2,26.124867
2.213133,4,26.250927
2.894626,5,26.405337
0.0,1,26.449848
0.0,1,26.493897
3.028189,5,26.65937
2.146102,4,26.794315
0.0,1,26.834399
0.666667,2,26.911007
0.0,1,26.960886
5.342549,8,27.211705
6.355246,9,27.500447
3.73028,6,27.690839
0.0,1,27.728922
1.521712,3,27.827731
0.733333,2,27.898003
10.301162,15,28.340158
5.105892,8,28.57969
2.922933,5,28.744499
10.081271,15,29.19036
2.066667,4,29.318367
0.675819,2,29.389644
4.659428,7,29.603829
2.177937,4,29.726987
2.166847,4,29.858575
0.0,1,29.903905
2.260677,4,30.044157
1.444444,3,30.154612
0.814412,2,30.232142
0.0,1,30.270102
1.601831,3,30.375479
4.607357,7,30.587306
1.453565,3,30.691157
0.746915,2,30.7673
3.073626,5,30.917366
1.444444,3,31.025075
13.136893,18,31.554043
8.697693,13,31.938522
2.990944,5,32.090875
3.063641,5,32.283919
2.268738,4,32.468839
2.316443,4,32.646699
2.104333,4,32.82502
2.52037,4,33.007901
0.742499,2,33.111289
2.889325,5,33.338231
3.03302,5,33.549008
3.97921,6,33.813204
1.509562,3,33.955362
9.616557,13,34.486299
2.298994,4,34.666379
2.177778,4,34.839656
4.708643,7,35.152673
4.75595,7,35.448622
2.278605,4,35.627692
2.408183,4,35.807904
1.681849,3,35.941073
9.591037,13,36.490352
3.25267,5,36.706822
0.733333,2,36.801303
5.37758,8,37.186265
6.901423,10,37.614379
2.133333,4,37.812726
3.122152,5,38.046166
2.982697,5,38.275713
6.408471,9,38.685409
2.995035,5,38.905134
0.718794,2,39.001591
2.210989,4,39.201285
1.454419,3,39.338474
16.9582,22,40.303605
2.210141,4,40.478558
10.066404,14,41.080415
12.108795,17,41.787791
6.194554,9,42.174201
17.216543,23,43.124796
8.672981,12,43.63548
5.951775,8,43.979456
0.0,1,44.031351
7.098269,10,44.459276
5.196788,8,44.802409
2.133333,4,44.997293
26.518276,36,46.48192
4.465987,7,46.784201
7.277895,11,47.253684
1.444444,3,47.383054
10.545904,14,47.973789
6.658341,10,48.389699
8.122109,12,48.889177
3.736061,6,49.145943
1.466472,3,49.283924
2.133333,4,49.452423
2.133333,4,49.636754
14.118147,20,50.469661
17.545015,24,51.527304
2.362525,4,51.715091
0.782114,2,51.81717
2.225776,4,51.999054
9.542506,14,52.598268
11.806307,16,53.283689
7.861683,11,53.783434
7.32527,11,54.24889
10.952274,14,54.83324
25.397421,31,56.113286
47.528675,66,58.852749
103.275038,138,64.639265
13.647575,17,65.374218
22.709207,28,66.568129
3.74008,6,66.839769
19.502153,25,67.860705
13.834146,17,68.562404
11.896395,17,69.272466
66.781967,88,72.938583
16.131243,21,73.799099
19.280909,24,74.785969
53.519316,69,77.717785
143.28947,200,86.140705
23.624489,29,87.347045
22.898889,29,88.540064
59.074721,76,91.786322
12.367652,17,92.54963
15.149161,20,93.385678
45.51214,58,95.806208
53.496434,65,98.474413
15.100074,20,99.318703
35.34102,45,101.202996
16.670722,22,102.111037
10.952807,14,102.701685
144.228379,200,111.127644
30.597317,41,112.769924
17.316041,21,113.637884
27.771115,32,114.96678
18.950716,24,115.995323
54.630842,67,118.853404
31.560073,41,120.582051
48.415561,59,123.014535
13.735602,17,123.742376
14.8425,20,124.5831
153.610669,200,133.034286
22.157019,27,134.175653
17.938058,25,135.219805
149.087458,200,143.522771
23.922236,33,144.896359
24.553958,31,146.188411
15.582884,21,147.071364
143.556507,200,155.368537
145.761639,200,163.693846
153.76071,200,172.108554
148.67548,200,180.521257
152.88809,200,188.94391
10.48146,14,189.535185
152.508008,200,198.051744
149.364291,200,263.667398
20.387295,26,264.750184
143.32684,200,273.047177
146.388232,200,281.356765
18.37437,24,282.379517
52.244123,63,285.042179
155.318002,200,293.451641
153.038395,200,301.873675
147.903577,200,310.173296
148.617344,200,318.490929
24.907056,31,319.806621
143.873752,200,328.405366
141.617926,200,336.876587
15.104248,19,337.67132
12.767367,17,338.404356
141.122684,200,346.812837
146.944057,200,355.142193
143.72975,200,363.585404
143.40601,200,371.912248
44.66521,62,374.512968
117.821076,155,381.025929
156.486439,200,389.32068
145.333056,200,397.764271
106.624199,145,403.769503
153.843637,200,412.18826
26.082441,36,413.665866
152.607309,200,421.998911
148.912581,200,430.439165
143.860559,200,438.800467
147.606963,200,447.200851
147.845871,200,455.532429
143.338685,200,464.058753
145.424167,200,530.958889
144.242709,200,539.433447
30.892504,38,541.019673
90.333762,127,546.249901
88.304808,121,551.496399
66.864952,90,555.172718
145.130977,200,563.573588
146.400798,200,571.86009
153.569215,200,580.251375
149.244429,200,588.873285
123.714512,166,595.7788
146.32089,200,604.208271
149.307383,200,612.640321
151.345862,200,621.115027
78.457442,104,625.449174
20.725115,25,626.501204
151.062265,200,634.993446
155.620259,200,643.335399
148.972266,200,651.864565
151.187665,200,660.19531
150.267345,200,668.589531
52.663701,69,671.466284
150.447214,200,679.73627
141.847062,200,688.139424
146.971339,200,696.572747
149.067156,200,705.045074
148.501345,200,713.52357
152.474515,200,721.801517
120.465277,162,728.576641
117.39232,159,735.321635
147.161537,200,804.435167
141.534971,200,812.761583
148.966659,200,821.12067
125.36596,168,828.045023
156.357174,200,836.339907
148.932524,200,844.568525
144.053994,196,852.74837
17.669356,21,853.641492
150.170296,200,862.230708
152.192576,200,870.723555
153.168995,200,879.104789
147.506754,200,887.461354
147.165793,200,895.812573
51.784431,68,898.610707
154.493971,200,907.007565
157.274135,200,915.45846
153.14931,200,923.890893
152.55274,200,932.427396
152.959832,200,940.816209
17.991202,23,941.777299
143.418459,200,949.985298
150.618282,200,958.296883
151.192644,200,966.642818
157.014071,200,974.885718
47.141208,59,977.401271
34.128038,42,979.199122
18.342099,21,980.084019
148.429945,193,988.108053
152.598974,200,996.394371
30.546581,39,997.996275
153.726147,200,1047.159042
148.413449,200,1055.396696
149.535025,200,1063.726321
24.566859,31,1065.003257
150.044785,200,1073.23666
81.096468,108,1077.683754
150.522559,200,1086.125351
31.537722,40,1087.771799
153.587845,200,1096.029644
152.43756,200,1104.304755
29.162326,34,1105.693788
77.406364,97,1109.950155
154.264077,200,1118.405438
148.767004,200,1126.980266
155.466304,200,1135.67742
105.978007,133,1141.296852
158.499516,200,1149.908056
28.178117,35,1151.423366
40.110984,52,1153.616186
141.331894,181,1161.535474
84.239992,109,1166.196262
106.3299,141,1172.323853
80.833664,103,1176.824237
118.617675,142,1182.969316
154.281571,200,1191.494157
102.176239,142,1197.489374
151.019752,200,1206.068343
150.773276,200,1214.81379
159.54559,200,1223.439913
158.08365,200,1232.151286
49.450925,61,1234.768786
151.691908,200,1243.337026
63.465579,83,1246.928499
151.479782,200,1255.617442
27.675887,35,1257.097319
139.519011,181,1309.072626
152.403687,200,1317.636423
144.633421,187,1325.675028
51.364591,66,1328.469975
152.491717,200,1337.127856
94.580074,124,1342.432241
153.963703,200,1350.948958
148.104214,200,1359.469506
154.450438,200,1368.082555
154.67742,200,1376.575122
149.618253,200,1385.149085
154.119298,200,1393.549908
154.837795,200,1402.103446
151.228312,200,1410.65735
154.078761,200,1419.053396
24.570643,29,1420.288182
156.211058,200,1428.664864
26.495183,30,1429.922848
151.183569,200,1438.237728
151.244542,200,1446.685125
16.658635,19,1447.494342
150.389871,200,1455.929333
149.394098,200,1464.057235
152.778469,200,1472.251379
31.950009,41,1473.999293
156.960905,200,1482.360287
150.797177,200,1490.897886
65.781525,81,1494.261502
85.649132,108,1498.775281
152.44253,200,1507.113977
107.009973,129,1512.633179
17.512399,20,1513.500443
155.221414,194,1555.902433
25.055054,28,1557.058707
153.062446,200,1565.318618
113.070588,146,1571.369383
14.090904,17,1572.097299
76.171207,100,1576.24717
111.254332,141,1582.363572
157.021367,200,1590.754032
119.52231,160,1597.487721
151.913393,200,1606.001204
153.004005,200,1614.313968
151.721444,200,1622.591202
150.536278,200,1630.915111
72.548438,90,1634.670881
154.668822,200,1642.958739
158.578867,200,1651.343209
32.184616,40,1652.987291
158.108802,200,1661.326072
19.411503,22,1662.252797
153.079556,200,1670.7192
152.398706,200,1678.972808
156.489924,200,1687.33765
61.473595,78,1690.503965
134.903871,181,1698.080955
18.113488,21,1698.946097
43.130229,56,1701.275577
151.817799,200,1709.541823
9.321801,12,1710.050865
158.581488,200,1718.379218
18.367259,21,1719.276881
151.691022,200,1727.634795
154.276961,200,1736.029074
153.491059,200,1744.278682
149.926614,200,1752.767773
150.896175,200,1818.039472
103.805828,135,1823.626612
148.840716,200,1831.877534
151.129768,200,1840.14943
154.484281,200,1848.520518
24.656745,32,1849.916634
39.482391,45,1851.8028
152.23939,200,1860.055212
144.765498,187,1867.925777
155.059867,200,1876.132822
151.423242,200,1884.380379
99.268679,132,1889.907166
148.852878,200,1898.381529
159.012811,200,1906.74181
21.327666,25,1907.753316
79.824771,98,1911.887931
154.23012,200,1920.268069
159.578535,200,1928.537253
74.559674,87,1932.235824
148.620995,200,1940.503922
156.697841,200,1948.932817
157.452413,200,1957.219306
157.183723,200,1965.530239
151.521767,200,1973.891164
149.310642,200,1982.274182
150.249462,200,1990.620885
151.570508,200,1998.936573
137.028067,200,2007.290643
12.221375,14,2007.880463
152.794824,200,2016.199044
50.456027,66,2018.912667
9.367695,12,2019.442397
150.640856,200,2078.153107
104.293453,136,2083.801817
154.738147,200,2092.187045
152.540605,200,2100.552556
153.547522,200,2108.797526
148.99814,200,2117.144088
150.027507,200,2125.429116
151.398403,200,2133.791427
154.284671,200,2142.220234
157.654531,200,2150.592342
153.292898,200,2158.82124
94.482592,126,2164.228842
147.130848,200,2172.565428
147.994616,200,2180.89942
151.51885,200,2189.251385
72.68529,99,2193.396868
150.121486,200,2201.548036
152.568515,200,2210.013001
147.793604,200,2218.327425
151.195687,200,2226.62972
156.358896,200,2234.91817
152.180732,200,2243.375736
149.850743,200,2251.613032
155.662804,200,2260.03362
149.954855,200,2268.380172
141.8941,200,2276.811076
153.591305,200,2341.52633
151.023542,200,2350.170222
34.54117,42,2351.987828
16.12705,19,2352.789371
152.620921,200,2361.433578
154.460772,200,2369.999459
151.252822,200,2378.664549
150.946367,200,2387.335372
149.814817,200,2395.871487
147.181293,200,2404.466746
29.868436,40,2406.210252
149.492672,200,2414.766881
144.918844,192,2423.127985
150.752681,200,2431.643568
153.579385,200,2440.201192
128.668569,179,2447.787961
148.976351,200,2456.278333
50.313918,58,2458.754752
153.40627,200,2467.428071
156.239553,200,2476.088969
65.87609,84,2479.710477
150.857229,200,2488.235925
149.820703,200,2496.72789
149.416426,200,2505.312173
149.826909,200,2513.875932
148.699127,200,2522.485407
161.873703,200,2530.97462
67.244697,82,2534.524739
148.86647,200,2543.180187
143.801018,200,2551.766877
61.850801,77,2599.012658
150.480673,200,2607.598605
154.226655,200,2615.954203
157.237695,200,2624.421042
155.37485,200,2632.768781
155.82291,200,2641.252602
155.510583,200,2649.709613
150.404035,200,2658.266301
107.685037,142,2664.28303
149.592353,200,2672.832966
152.65642,200,2681.169438
14.755419,18,2681.919645
152.666566,200,2690.474451
91.444847,121,2695.524093
24.191927,28,2696.71562
119.159616,154,2703.221591
51.75836,67,2705.993897
150.304443,200,2714.317454
162.410326,200,2722.701184
68.553663,89,2726.41614
112.8434,146,2732.601631
154.422508,200,2740.94399
150.517936,200,2749.158726
149.068619,200,2757.64019
99.633449,129,2763.088905
150.691109,200,2771.409739
155.388262,200,2779.784131
150.23448,200,2788.221172
150.253279,200,2796.652369
106.50877,140,2802.559659
114.776855,156,2869.116411
57.262282,74,2872.221287
149.104643,200,2880.599298
151.46353,200,2888.835246
36.279672,47,2890.781868
153.365051,200,2899.093076
153.85396,200,2907.548886
17.247969,20,2908.384751
22.282666,26,2909.460213
163.19371,200,2917.778442
14.768615,18,2918.547481
146.854456,200,2927.024102
40.048117,49,2929.109032
149.035325,200,2937.380394
153.310862,200,2945.60314
153.226608,200,2953.797154
158.14885,200,2962.462795
19.828365,24,2963.489137
148.044765,200,2971.790845
150.802282,200,2980.349135
152.310604,200,2988.694141
146.605682,200,2996.893435
151.560494,200,3005.192402
144.22242,200,3013.64017
114.453993,150,3019.888996
150.599797,200,3028.397217
151.815494,200,3036.867382
17.517959,20,3037.70158
143.677882,200,3046.007682
102.298503,142,3051.800041
153.462717,200,3060.012639
148.828661,195,3068.211725
139.281321,190,3076.183139
147.791423,200,3130.227157
150.87628,200,3138.509248
149.74282,200,3146.798326
154.465836,200,3155.190083
152.552397,200,3163.555978
153.473099,200,3171.956018
157.44874,200,3180.440567
150.114875,200,3188.670758
150.480155,200,3197.10443
152.181898,200,3205.332563
26.45536,31,3206.624846
151.118599,200,3214.991463
150.111321,200,3223.522611
150.879639,200,3231.98322
152.196182,200,3240.261507
148.129341,195,3248.439804
158.079692,200,3256.82385
57.423049,69,3259.715267
156.128099,200,3268.034458
151.261641,200,3276.557749
152.997587,200,3284.984502
156.258528,200,3293.278459
156.945556,200,3301.63297
154.407668,200,3309.977281
157.255539,200,3318.313903
154.399689,200,3326.6923
153.29841,200,3394.494746
164.440218,200,3402.903713
151.893141,200,3411.155111
134.499861,177,3418.52411
155.955269,200,3426.725979
150.417669,200,3434.978978
152.939585,200,3443.261288
166.789624,200,3451.538309
155.499214,200,3459.803996
34.765819,43,3461.588071
155.56428,200,3469.919445
156.566842,200,3478.2086
153.391699,200,3486.6235
155.395661,200,3495.182395
150.413878,200,3503.459893
153.902343,200,3511.895287
156.873246,200,3520.390104
151.90322,200,3528.75834
150.913572,200,3537.136126
155.550819,200,3545.471843
148.30568,200,3553.59849
151.193548,200,3561.951368
133.824449,174,3569.052796
155.573253,200,3577.384306
27.50119,31,3578.657726
152.166399,200,3586.986689
154.391252,200,3595.211503
155.652166,200,3661.673726
154.264828,200,3669.852313
158.812563,200,3678.09037
152.992314,200,3686.345421
155.168038,200,3694.674007
147.666851,200,3703.02761
153.618836,200,3711.089072
157.933763,200,3719.497801
150.270477,190,3727.319247
156.811711,200,3735.594098
149.782884,200,3743.927822
117.012984,153,3750.191114
152.944705,200,3758.5218
139.634421,180,3766.036196
152.367164,200,3774.364551
155.085046,200,3782.672922
40.014754,45,3784.536406
156.462907,200,3792.745077
152.269864,200,3801.004626
28.152101,34,3802.407228
156.758351,200,3810.723048
151.142551,200,3819.065997
148.726894,200,3827.325902
154.709338,200,3835.58521
151.41663,200,3843.735429
160.374833,200,3852.022249
9.537597,11,3852.472605
116.802707,146,3858.526907
21.709966,25,3859.554476
154.880388,200,3921.903253
141.990651,200,3930.375389
20.830004,24,3931.372724
22.873204,26,3932.427912
154.424567,200,3940.694521
153.825178,200,3949.012828
151.764673,200,3957.363744
154.178013,200,3965.58601
147.296756,200,3973.8299
152.670796,200,3982.160575
161.319184,200,3990.421655
52.372953,57,3992.742684
13.056049,15,3993.358586
154.254942,200,4001.660442
70.665044,94,4005.982889
156.034079,200,4014.251954
43.495697,56,4016.634172
151.768794,200,4024.739012
154.6268,200,4033.050286
153.322228,200,4041.544383
155.565553,200,4049.806533
157.127129,200,4058.064658
160.260406,200,4066.248717
14.510195,16,4066.925033
159.575774,200,4075.302242
12.638212,15,4075.921162
155.108527,200,4084.091571
148.463119,200,4092.318527
155.877821,200,4100.571597
155.124367,200,4109.031266
154.798395,200,4117.324214
151.894751,200,4125.821546
73.262541,95,4169.280704
156.359569,200,4177.44695
163.127468,200,4185.732108
148.581282,200,4193.922048
156.047957,200,4202.210859
100.730161,131,4207.613088
159.990547,200,4215.841097
157.447315,200,4224.093894
28.281479,32,4225.414019
155.863548,200,4233.833893
156.480645,200,4242.203069
20.023848,22,4243.086013
151.060562,200,4251.395887
152.669951,200,4259.616143
155.913711,200,4267.939048
154.922136,200,4276.249351
130.58431,173,4283.525238
148.898403,200,4292.057033
154.48112,200,4300.472981
152.094149,200,4308.761862
155.652849,200,4317.23385
154.110993,200,4325.642269
