#{"t_start": 1777931210.1744425, "env_id": "highway-v0"}
r,l,t
152.812826,200,207.215452
158.562806,200,213.254421
144.932826,200,219.255398
141.73513,200,225.234633
146.694884,200,231.43252
152.784971,200,237.326525
156.221554,200,243.315927
143.600833,200,249.191302
148.192338,200,255.319193
144.726184,200,261.476057
152.94978,200,477.471426
142.077017,200,483.460406
143.297003,200,489.543762
142.27504,200,495.67268
159.674429,200,501.652483
146.504776,200,507.613454
116.505173,152,512.315069
137.717442,200,518.410571
150.166125,200,524.384942
144.887008,200,530.390135
18.018927,20,740.719432
56.281689,65,742.661747
102.449459,128,746.489473
141.840168,200,752.607286
19.461216,21,753.238233
61.739478,81,755.635469
28.73271,30,756.534507
145.394735,200,762.578439
142.510096,200,768.574365
147.873859,200,774.632082
34.485398,37,986.909889
141.875009,200,992.844651
147.817019,200,998.980259
19.877158,22,999.652427
19.468595,22,1000.305512
10.265198,13,1000.696444
157.27558,200,1006.754125
149.494401,200,1012.705248
157.64251,200,1018.670647
18.91129,23,1019.359405
157.492508,200,1236.0184
153.075877,200,1241.856535
156.650221,200,1247.972316
151.25899,200,1253.859609
22.188056,27,1254.672939
141.066998,200,1260.662654
154.734588,200,1266.58226
126.695016,166,1271.659441
155.702025,200,1277.740726
41.237475,54,1279.374024
53.274159,57,1491.850146
153.537588,200,1497.996629
54.003586,56,1499.702711
155.504964,200,1505.653043
82.331719,99,1508.707756
97.433084,123,1512.425328
26.526982,29,1513.297201
154.106311,200,1519.370442
162.793614,200,1525.423373
38.161483,41,1526.639561
19.211549,23,1738.389264
32.258045,37,1739.490199
150.938101,200,1745.491253
13.084095,15,1745.94398
161.93077,200,1751.983834
131.941808,151,1756.485577
155.2175,200,1762.444384
93.146859,96,1765.333104
155.05245,200,1771.345802
130.807602,150,1775.944897
111.23875,148,1991.139653
120.763013,169,1996.140679
159.079435,200,2002.076799
99.84126,131,2006.014242
23.725164,28,2006.858886
62.002292,64,2008.796608
148.294909,200,2014.826724
66.382384,92,2017.586303
56.885713,75,2019.857073
150.920875,200,2025.856691
159.499254,200,2248.970381
53.859937,73,2251.226334
146.01145,200,2257.31399
42.122045,44,2258.655317
162.048227,191,2264.638122
90.837078,93,2267.489817
147.59809,200,2273.751944
19.007398,22,2274.436208
109.960875,144,2278.821457
151.341259,200,2284.871594
170.956737,200,2503.955818
97.537136,119,2507.525573
140.65236,164,2512.527419
148.83793,200,2518.418829
156.942555,200,2524.498688
146.644063,200,2530.451204
162.518034,198,2536.552078
26.054421,32,2537.519925
22.995362,25,2538.268791
45.200199,48,2539.67398
111.337263,121,2753.717379
16.348736,18,2754.261466
154.958827,200,2760.196093
161.749879,200,2766.148469
91.431522,93,2768.986072
105.55878,133,2772.961
151.960824,200,2778.884449
158.210232,200,2784.970142
41.94238,45,2786.303999
67.685984,71,2788.395093
150.53323,200,3005.457187
155.383016,200,3011.374577
158.079901,200,3017.38269
66.742907,74,3019.642361
160.54828,188,3025.361122
60.846034,78,3027.665675
157.477675,200,3033.74896
151.616718,200,3039.817101
151.323412,200,3045.956449
61.949932,71,3048.092255
154.586093,200,3266.325217
58.956262,67,3268.334499
18.052096,23,3269.014665
161.561667,200,3275.074017
165.403669,200,3281.1614
160.290422,200,3287.123035
158.350182,200,3293.319212
130.045979,159,3298.063607
147.64745,200,3304.145409
154.658081,200,3310.072886
154.838161,200,3527.609242
184.178603,200,3533.504171
155.610139,200,3539.655161
157.567934,200,3545.719814
36.505023,41,3546.942557
172.804699,200,3552.895838
171.912377,200,3558.998472
22.072228,24,3559.700305
150.130701,200,3565.732655
188.482143,200,3571.751028
177.444659,200,3788.224925
81.298553,98,3791.143567
156.501232,200,3797.158114
159.255028,200,3803.147814
46.948179,52,3804.701521
14.38922,16,3805.18387
174.47017,200,3811.239723
156.675768,200,3817.412709
162.888771,200,3823.419549
164.180907,200,3829.459065
109.936674,145,4044.724751
78.372133,88,4047.421821
151.041626,200,4053.388865
151.391336,200,4059.388617
54.531548,68,4061.461415
145.793166,148,4065.931616
174.206491,200,4071.991369
162.481494,200,4078.20662
177.497288,200,4084.260454
79.936051,90,4086.954891
161.813724,200,4303.86069
160.679862,199,4309.84874
156.095663,200,4315.75299
157.779903,200,4321.716802
155.430873,200,4327.658367
167.451489,200,4333.65396
163.697652,200,4339.681788
172.474976,200,4345.823029
169.039634,200,4351.94912
148.50771,200,4357.961187
151.207467,200,4577.267104
160.00236,200,4583.333361
145.699124,200,4589.365381
156.538655,200,4595.640285
98.305831,120,4599.294502
158.359814,200,4605.624634
161.725425,200,4611.699529
46.094297,48,4613.160816
157.06544,200,4619.220628
164.434462,200,4625.351352
83.528971,88,4840.534798
89.311351,106,4843.794852
158.536393,200,4849.746906
80.344336,82,4852.218476
181.342934,200,4858.354064
168.158309,200,4864.346592
110.738363,113,4867.733208
98.736826,102,4870.806277
168.998618,200,4876.729973
175.737612,200,4882.811136
52.88662,57,5095.430509
152.815699,200,5101.33465
97.648179,123,5105.061219
170.177721,200,5111.220305
166.503491,200,5117.366324
152.073655,200,5123.478253
48.436448,55,5125.17232
138.302381,200,5131.190535
156.254432,200,5137.2533
160.859232,200,5143.267895
