#{"t_start": 1777931210.141738, "env_id": "highway-v0"}
r,l,t
2.89582,5,0.259659
3.83344,6,0.45573
0.817607,2,0.537672
3.754012,6,0.711062
3.362847,5,0.87308
11.082492,16,1.338391
6.116681,9,1.623251
2.950319,5,1.780039
1.650472,3,1.878026
3.224108,5,2.04175
6.270978,9,2.313053
2.501805,4,2.446146
2.185761,4,2.576444
4.718672,7,2.786816
3.202976,5,2.938401
3.70442,6,3.12913
0.794994,2,3.205016
1.535044,3,3.309201
10.189679,14,3.730921
0.0,1,3.771359
11.985805,17,4.282939
5.230984,8,4.542536
4.478553,7,4.767756
3.872811,6,4.946198
0.822571,2,5.025084
2.293701,4,5.155543
7.318922,10,5.454644
2.179357,4,5.583397
3.800877,6,5.770967
1.658973,3,5.879418
4.529839,7,6.09937
1.436421,3,6.205609
2.323371,4,6.347383
2.359774,4,6.48629
5.174157,8,6.726233
5.200346,8,6.962393
8.304765,12,7.339106
3.045584,5,7.489596
4.50919,7,7.708428
2.477623,4,7.842403
1.591803,3,7.949326
6.997056,10,8.268749
1.410411,3,8.367775
4.635711,7,8.576774
1.75293,3,8.680817
4.155931,6,8.8567
0.0,1,8.903135
4.519314,7,9.115759
0.832072,2,9.183341
2.321231,4,9.311557
2.264395,4,9.43755
9.951751,13,9.816905
5.606649,8,10.087036
5.280221,8,10.33657
4.625049,7,10.565633
1.685244,3,10.666966
2.066667,4,10.811973
2.996695,5,10.977
0.0,1,11.030208
2.969872,5,11.191391
1.504131,3,11.295866
2.353703,4,11.423996
10.597437,15,11.868979
1.510438,3,11.970751
0.0,1,12.01174
4.442877,7,12.234874
1.488095,3,12.334356
2.926978,5,12.488827
2.357921,4,12.62189
10.520939,14,13.04979
3.985405,6,13.239215
2.140778,4,13.368414
3.06838,5,13.527835
1.567935,3,13.631397
2.429513,4,13.767764
6.800474,9,14.045512
0.0,1,14.093513
0.73509,2,14.160522
2.598676,4,14.288459
0.0,1,14.336394
2.870713,5,14.497791
4.680676,7,14.715305
1.503516,3,14.815378
1.444444,3,14.915284
2.896833,5,15.097718
6.566901,9,15.375515
3.235457,5,15.529542
5.849717,9,15.801709
8.931249,12,16.155778
2.066667,4,16.281854
2.218964,4,16.408172
6.122572,9,16.677577
2.229771,4,16.816645
11.39894,17,17.313659
2.133333,4,17.440808
5.344746,8,17.67992
1.515638,3,17.780322
0.733333,2,17.854085
6.477792,9,18.136373
5.914801,9,18.413303
2.137279,4,18.556764
0.857348,2,18.624876
6.731295,10,18.929164
0.0,1,18.974108
2.066667,4,19.115097
1.649399,3,19.22226
3.854495,6,19.425153
0.0,1,19.462881
4.496703,7,19.686552
2.911981,5,19.851525
13.643017,20,20.442934
2.854235,5,20.605162
0.733333,2,20.678589
6.477834,9,20.955713
1.602593,3,21.055058
2.934929,5,21.214097
2.245186,4,21.344836
3.042469,5,21.498954
0.733333,2,21.571744
0.666667,2,21.64462
0.0,1,21.686662
5.245042,8,21.92702
0.0,1,21.980718
5.412165,8,22.225895
1.444444,3,22.331819
1.425105,3,22.431468
2.397671,4,22.56231
3.10613,5,22.724567
2.297394,4,22.861453
5.339815,8,23.125447
0.0,1,23.165102
1.425608,3,23.264266
4.731573,7,23.4783
13.089194,18,24.036214
3.56883,6,24.221697
6.718363,10,24.527228
1.490465,3,24.633269
2.414709,4,24.758673
2.138564,4,24.883643
3.738624,6,25.069758
6.26503,9,25.348678
0.0,1,25.387241
0.789369,2,25.461121
3.21967,5,25.614383
3.749023,6,25.806798
9.61505,13,26.209207
2.173224,4,26.33503
3.087803,5,26.509613
1.561116,3,26.611597
0.676841,2,26.676413
7.404629,11,27.000215
3.783711,6,27.192915
4.628545,7,27.416389
3.824279,6,27.604128
1.711728,3,27.715687
2.133333,4,27.847184
2.866106,5,28.010383
3.704331,6,28.202781
1.55282,3,28.303131
7.234094,10,28.608071
0.0,1,28.659009
5.5675,8,28.901603
4.638906,7,29.120762
1.444444,3,29.222627
1.461503,3,29.326936
2.931968,5,29.490227
0.0,1,29.528867
1.580176,3,29.63322
8.185787,12,30.025973
1.490671,3,30.131569
2.133333,4,30.262745
2.460542,4,30.396881
2.186318,4,30.533581
1.468085,3,30.632104
0.0,1,30.674177
0.0,1,30.715052
2.810121,5,30.884149
5.437951,8,31.127298
0.86586,2,31.199605
7.149858,10,31.501089
0.806346,2,31.570374
2.97708,5,31.732559
5.900215,8,31.977473
3.588322,6,32.23909
0.666667,2,32.34505
0.0,1,32.398999
3.028169,5,32.639439
4.03612,6,32.908738
2.133333,4,33.09632
1.574557,3,33.231677
6.68753,10,33.662113
2.16297,4,33.84063
3.747525,6,34.107259
0.776843,2,34.198539
4.75164,7,34.507714
2.133333,4,34.698511
2.964109,5,34.927767
0.848758,2,35.024122
1.501752,3,35.169986
6.245426,9,35.548597
0.0,1,35.609669
6.528065,10,36.043119
1.546935,3,36.177974
1.772172,3,36.320758
7.795224,11,36.783164
3.889703,6,37.044281
1.377778,3,37.184423
2.066667,4,37.353848
2.237943,4,37.534445
1.355556,3,37.668093
0.0,1,37.727729
10.973651,14,38.324262
6.588992,10,38.758612
3.707612,6,39.015145
10.287828,15,39.646267
22.402014,30,40.90486
5.338177,8,41.243622
4.637513,7,41.543692
2.955225,5,41.762705
3.702204,6,42.028671
17.955676,24,43.054062
9.073273,12,43.559253
3.143162,5,43.778962
12.623897,18,44.557894
14.69126,21,45.462294
5.732645,8,45.828888
4.334428,7,46.147647
7.97182,11,46.608769
11.664081,17,47.328715
16.776417,21,48.204944
8.407604,12,48.713638
15.208548,22,49.638836
10.280177,14,50.23297
0.0,1,50.29003
19.171514,26,51.371163
21.736221,32,52.702521
9.016832,13,53.253386
16.519146,21,54.145622
10.267821,13,54.685745
29.16478,39,56.310681
3.529093,6,56.577198
7.78179,11,57.056913
26.450438,34,58.512547
10.036381,13,59.101095
139.070302,197,67.36058
12.789978,17,68.08445
2.964972,5,68.304834
10.851201,15,68.937312
102.129585,136,74.695649
19.696957,24,75.724726
51.042577,63,78.359126
43.85723,53,80.634733
18.454184,22,81.565633
14.478467,18,82.311691
148.241466,200,90.774096
48.563852,55,93.150352
55.593101,72,96.124398
71.639494,96,100.118086
40.441081,45,101.984863
118.06767,154,108.431782
15.050715,19,109.259172
14.698739,18,110.014972
22.522844,26,111.111358
35.528001,45,113.022882
15.295593,19,113.826637
39.711882,50,115.916347
54.763181,70,118.869245
25.142653,31,120.166778
33.672417,41,121.928172
41.187484,49,123.963125
144.38362,200,132.476786
38.433372,52,134.654782
19.509702,25,135.763572
25.474763,33,137.160933
22.442981,26,138.315687
38.86729,47,140.315442
12.374617,16,140.987912
23.577599,31,142.294908
28.389793,35,143.757728
142.854469,200,152.243725
46.837966,58,154.710773
146.399008,200,163.170491
143.121829,200,171.572194
125.968944,171,178.810489
22.832848,29,180.026665
150.700906,200,188.422188
152.675369,194,196.494614
150.225754,200,265.284854
148.109227,200,273.678884
76.081004,101,277.829576
151.19634,200,286.230599
145.295191,200,294.750926
147.311985,200,303.032782
138.256191,176,310.394462
148.689724,200,318.780759
147.251269,200,327.135531
146.438604,200,335.453039
159.029033,200,343.689435
150.324724,200,352.221182
44.219313,58,354.610363
145.105049,200,362.95168
108.02863,157,369.496028
23.552561,32,370.861687
148.619502,200,379.356683
150.712938,200,387.872698
156.339346,200,396.282623
149.511311,200,404.738733
145.437603,200,413.091859
143.832678,200,421.447195
145.591572,200,429.904682
146.832036,200,438.233518
144.001973,200,446.639732
151.59331,200,455.06682
155.086603,200,463.459222
148.147749,200,530.898409
66.111624,92,534.774906
116.526702,155,541.290106
146.421993,200,549.818658
149.832239,200,558.192198
147.763296,200,566.590221
78.7043,108,571.251983
152.764232,200,579.643967
153.104287,200,587.989509
149.359538,200,596.425751
111.480154,152,602.742279
18.357265,23,603.700953
155.150934,200,611.922126
153.252943,200,620.230267
91.912349,121,625.245381
150.720475,200,633.561717
151.481784,200,641.902375
99.564655,139,647.803525
147.460639,200,656.200365
153.745321,200,664.578723
74.012174,95,668.544951
151.142616,200,677.036457
93.750357,127,682.319722
30.391601,32,683.661349
16.579068,21,684.572777
11.872458,14,685.165702
143.372309,200,693.482178
18.838864,22,694.410918
114.710684,158,701.158662
153.824779,200,709.400602
14.105817,18,710.189713
133.273368,176,717.615842
25.422818,33,718.993206
34.516271,41,720.709742
71.514314,75,723.86132
73.445457,96,727.958323
137.216653,200,736.311644
98.785056,140,776.806771
12.64385,18,777.578085
81.790857,105,781.909461
38.768579,52,784.125363
143.110701,200,792.621962
36.313835,50,794.750032
39.082698,47,796.670208
82.490851,111,801.329917
11.147985,13,801.888932
149.373252,200,810.395933
129.72121,174,817.807559
40.177013,48,819.815411
124.987658,152,826.341793
152.482843,200,834.838152
20.130718,24,835.835194
149.359791,200,844.395495
89.408901,114,849.173058
92.452849,105,853.620433
144.760013,200,862.05189
143.1247,200,870.391331
168.962551,200,878.833513
156.418154,200,887.285047
28.064775,31,888.592145
93.525711,114,893.345869
24.46008,26,894.464984
148.299989,200,902.900362
20.339102,25,903.968319
156.363045,200,912.425544
153.477702,200,920.826634
53.464592,63,923.527141
81.674428,97,927.649388
145.071453,200,936.115997
144.226289,200,944.554554
150.840298,200,952.956254
156.020193,200,961.34832
16.717959,19,962.166712
145.704832,200,970.416776
24.241868,26,971.534611
136.639857,190,979.567363
15.105959,18,980.352766
127.27289,182,1021.694376
146.960592,200,1030.00216
27.220086,30,1031.27227
161.38661,200,1039.667907
150.703937,200,1047.991574
96.528765,128,1053.41389
138.618454,200,1061.884635
158.670816,200,1070.466101
151.718359,200,1078.925647
61.665889,72,1081.991781
154.538537,189,1090.009632
36.871541,44,1091.896799
19.26552,23,1092.861798
18.387183,22,1093.788865
50.904419,68,1096.6532
55.210631,69,1099.526131
70.665775,92,1103.50781
155.563895,200,1111.816873
17.495308,21,1112.693428
33.14961,39,1114.349329
107.890011,145,1120.578766
29.338671,33,1121.967675
150.798302,200,1130.304069
146.426138,200,1138.551131
16.991287,20,1139.386559
109.448443,123,1144.66757
156.043981,198,1152.882447
158.916839,200,1161.408504
138.281446,200,1169.698958
12.331793,15,1170.364202
9.74745,11,1170.826262
141.829406,200,1179.229872
154.006369,200,1187.594143
14.983205,17,1188.329966
17.417769,19,1189.127314
8.15065,10,1189.567865
102.22266,131,1195.095493
130.825206,166,1202.288151
78.692757,107,1206.781633
45.550098,56,1209.115891
156.700113,200,1217.513103
77.812813,96,1221.601843
148.867166,200,1229.8444
155.511782,200,1287.670386
19.942084,23,1288.637186
115.215431,149,1294.837222
125.156872,162,1301.694251
16.231051,18,1302.442014
151.181835,200,1310.891088
141.971791,200,1319.259968
58.874909,80,1322.690377
161.042256,200,1331.274694
152.536782,200,1339.691248
138.651132,189,1347.623695
88.354048,106,1352.188847
135.936113,173,1359.34683
100.826232,136,1365.032209
150.423897,173,1372.202667
37.943158,43,1374.007018
73.097787,92,1377.946727
75.568762,99,1382.210197
155.224415,200,1390.613534
16.449202,19,1391.397389
59.474529,64,1394.042222
42.932388,50,1396.145184
149.981403,200,1404.655709
28.732772,32,1406.012584
23.19792,29,1407.238135
167.247783,200,1415.595405
145.443829,200,1424.038909
18.812332,21,1424.897467
22.77658,30,1426.1555
108.199204,116,1431.189204
16.67508,20,1432.036315
10.916407,12,1432.544898
107.097612,138,1438.37024
85.50935,106,1442.877081
160.133886,200,1451.244561
157.082447,200,1459.543704
166.827129,200,1468.073593
44.08778,47,1470.02209
29.993912,32,1471.372338
80.114822,94,1475.315689
93.993567,102,1479.696851
154.062172,200,1488.099665
156.88486,200,1533.244196
151.849504,200,1541.533704
158.577334,200,1549.856516
84.523793,107,1554.293411
162.199601,200,1562.700784
46.149099,49,1564.786023
153.637107,200,1573.270542
151.049676,200,1581.700016
151.911292,200,1590.172937
151.775477,200,1598.653648
157.49378,200,1607.202063
161.231022,200,1615.807897
161.709792,200,1624.358194
118.455044,146,1630.455334
153.603607,200,1638.957094
71.324324,76,1642.12283
173.643633,188,1650.170577
28.055897,36,1651.712916
157.472627,200,1660.08392
16.17359,18,1660.854498
157.302376,200,1669.253082
157.428496,200,1677.747563
28.057261,31,1679.05233
38.331419,46,1680.957162
30.054963,35,1682.405717
151.100188,200,1690.87743
156.239464,200,1699.075733
11.450825,13,1699.623535
150.711441,200,1708.050432
19.210084,22,1708.982313
105.493358,137,1714.715036
156.375028,200,1723.097887
149.77902,200,1731.604722
156.499414,200,1778.349092
150.201242,200,1786.768893
154.075373,200,1795.063954
158.918599,200,1803.325649
151.503057,200,1811.845747
67.251255,70,1814.806971
94.630865,127,1820.288072
158.098078,200,1828.606565
148.245396,200,1836.94256
155.929487,200,1845.465884
38.714899,46,1847.389971
138.112949,189,1855.279831
152.135086,200,1863.691994
152.191472,200,1872.114736
20.132116,28,1873.293668
18.41212,26,1874.402264
26.640152,37,1875.935898
159.710611,200,1884.458241
167.254185,200,1892.917815
148.528079,200,1901.286861
156.431121,200,1909.676605
159.847194,200,1918.170245
59.053238,64,1920.836459
153.308135,200,1929.330065
16.770943,22,1930.252038
160.09422,200,1938.682734
154.789703,200,1947.210251
62.861949,88,1950.990113
154.664894,200,1959.336368
26.722724,34,1960.761838
69.590999,95,1964.821692
70.166351,92,1968.727217
101.679396,139,1974.541257
54.236627,77,1977.751938
48.98134,67,1980.509881
160.97657,200,2028.554597
127.205757,155,2035.234908
175.184086,200,2043.994963
45.19483,53,2046.232179
154.417112,200,2054.809803
37.094469,40,2056.5386
161.545558,200,2065.11038
81.21063,107,2069.784085
13.483508,15,2070.449924
60.182272,68,2073.379636
87.288045,111,2078.183211
147.501194,200,2086.789042
159.066559,194,2095.277396
74.011039,77,2098.605007
99.60144,131,2104.343844
156.931739,200,2113.1711
150.722037,200,2121.874086
54.174217,76,2125.160588
155.745688,200,2133.789852
166.045699,200,2142.267543
163.904635,200,2151.076402
153.26448,200,2159.723055
30.27767,33,2161.159792
59.174249,70,2164.172044
23.173786,29,2165.417685
148.026981,200,2173.957385
157.179232,200,2182.614929
47.655492,51,2184.877397
162.170357,200,2193.508816
163.890569,200,2202.189316
75.046157,97,2206.427417
170.584141,200,2215.066323
158.081232,200,2223.8728
172.810626,200,2232.540332
157.858097,200,2241.314167
67.980958,86,2287.156257
39.705217,56,2289.641155
146.018486,200,2298.132519
147.012747,200,2306.703369
78.186616,100,2310.895106
151.143152,200,2319.405822
157.7164,200,2327.787584
172.140128,200,2336.235343
152.153986,200,2344.694279
178.061609,200,2353.349321
130.579171,174,2360.765568
93.156835,102,2365.143239
51.703201,53,2367.430252
61.302224,63,2370.082724
161.116114,200,2378.51461
158.337277,200,2386.963206
147.26635,200,2395.675441
85.746028,111,2400.419459
153.687166,200,2408.983137
53.929965,58,2411.447464
158.131964,200,2420.096977
157.773531,200,2428.509224
110.939259,145,2434.719107
158.168946,200,2443.082089
126.387077,152,2449.436893
152.010319,200,2458.059418
79.461772,94,2461.976292
36.671588,46,2463.897936
166.709379,200,2472.56389
155.525212,200,2481.016232
138.902655,189,2489.099124
147.4973,200,2497.623758
42.54207,45,2541.30975
171.771379,200,2549.673945
173.416493,200,2558.109858
65.610149,83,2561.7844
74.593148,76,2565.030123
41.366328,44,2566.854643
19.671727,23,2567.817459
85.976225,91,2571.748571
81.818362,107,2576.249134
147.599358,200,2584.564797
132.946988,171,2591.733108
102.193203,121,2596.751684
160.636766,200,2605.229062
18.084358,20,2606.07064
55.676999,62,2608.699706
158.084078,200,2616.981611
72.840452,97,2621.002375
145.753348,200,2629.416425
174.956979,200,2637.860186
27.967613,31,2639.200734
38.52459,41,2640.966675
167.964962,200,2649.316771
93.227223,115,2654.1651
87.608257,101,2658.378951
152.351853,187,2666.22907
67.883633,73,2669.309657
160.923604,200,2677.724133
172.53435,200,2686.107289
158.376386,200,2694.653696
35.15531,40,2696.325549
84.539484,103,2700.689497
136.385891,153,2707.221075
158.407769,200,2715.567276
127.997416,164,2722.530532
102.99389,126,2727.784692
158.207728,200,2736.168523
76.766225,88,2739.761858
155.523411,200,2748.196622
